"Player","Rating","Rank"
"5038134, 5045359",2078.51150820303,1
"5040752, 5047406",2072.05631414333,2
"5016116, 5033202",2031.20675364924,3
"5004093, 5043767",1942.26627079829,4
"5041016, 5051595",1912.2827504502,5
"5006605, 5016116",1886.01488098158,6
"5002037, 5010627",1868.76125253726,7
"5005599, 5043456",1866.05009140904,8
"5005599, 5043767",1862.6465108788,9
"5033321, 5038311",1862.13883880193,10
"5004093, 5013584",1848.44966032398,11
"5007523, 5030311",1845.92531680029,12
"5010627, 5031400",1840.69769719169,13
"5041519, 5055476",1820.44010430891,14
"5019063, 5037433",1800.45177043493,15
"5019250, 5051595",1796.10037586937,16
"5011746, 5023879",1793.11084077159,17
"5021791, 5055017",1783.37728221542,18
"5005500, 5017900",1773.53646671107,19
"5033202, 5048475",1763.9403213476,20
"5042447, 5054040",1763.59111875957,21
"5036150, 5045116",1762.21815699287,22
"5041352, 5043417",1755.68431626461,23
"5044108, 5044112",1751.57485105898,24
"5029761, 5034442",1751.23650345652,25
"5010217, 5016952",1749.94790667541,26
"5041668, 5055093",1737.4234904446,27
"5014493, 5050083",1734.86065595215,28
"5020998, 5022387",1731.41853765563,29
"5039298, 5055602",1725.39385032541,30
"5016793, 5047406",1707.33925965741,31
"5042983, 5045349",1706.22849180247,32
"5043635, 5054279",1705.18090679184,33
"5044070, 5054040",1704.7018588447,34
"5044097, 5055372",1698.27643333913,35
"5001972, 5041519",1689.70600406435,36
"5038179, 5045870",1688.1386308184,37
"5045359, 5046210",1682.20496147864,38
"5027001, 5033489",1678.59821742405,39
"5030780, 5036163",1673.09860165134,40
"5040752, 5043456",1668.4525878721,41
"5009208, 5036204",1666.32343847645,42
"5054040, 5055735",1664.57268955696,43
"5043020, 5049683",1657.9417940845,44
"5010217, 5045983",1652.48330243254,45
"5005176, 5045349",1652.11888166163,46
"5048629, 5049765",1649.04533035334,47
"5054749, 5055602",1647.30770571313,48
"5042834, 5048486",1641.13808467022,49
"5020708, 5034696",1641.10798357808,50
"5007523, 5040479",1639.04483772872,51
"5021791, 5046844",1638.55120167779,52
"5003128, 5004619",1636.42418161096,53
"5001745, 5034687",1635.9653052622,54
"5019250, 5055602",1635.31189470589,55
"5043767, 5044097",1633.3813584582,56
"5021791, 5053579",1633.17213543793,57
"5042447, 5050909",1632.88188227274,58
"5046301, 5050027",1631.785548957,59
"5005599, 5041352",1629.75043578312,60
"5007276, 5046836",1621.80798664965,61
"5005191, 5046051",1620.39569008008,62
"5017255, 5017468",1617.28436064619,63
"5011443, 5036349",1616.2041256856,64
"5038179, 5050239",1611.56274334709,65
"5026742, 5055367",1607.28572536663,66
"5045116, 5050027",1604.38987413438,67
"5042270, 5043635",1603.00934005689,68
"5015808, 5038134",1601.2014318174,69
"5023022, 5034442",1600.26896736615,70
"5007932, 5039095",1599.99013027908,71
"5044993, 5046308",1597.86569236639,72
"5026638, 5028545",1597.35419796206,73
"5010217, 5055602",1595.01070847695,74
"5011746, 5050909",1591.93800490635,75
"5017255, 5053721",1591.00451414755,76
"5043456, 5044097",1587.04720005276,77
"5044112, 5049683",1584.64251732364,78
"5046836, 5049683",1582.41646250189,79
"5050907, 5054041",1582.0183755071,80
"5006258, 5017294",1579.3932367405,81
"5042495, 5044615",1578.49319053099,82
"5046430, 5049828",1576.47597988048,83
"5012279, 5042447",1575.6621572146,84
"5022157, 5041701",1574.92806922643,85
"5017761, 5021523",1573.7660568572,86
"5045349, 5049828",1572.50554530416,87
"5047936, 5050239",1569.96578727576,88
"5050239, 5055411",1569.19685543743,89
"5011405, 5045870",1568.62597756541,90
"5017900, 5041352",1568.4697772444,91
"5042081, 5042097",1568.19165168455,92
"5004331, 5046836",1567.14490985668,93
"5029744, 5030449",1564.36872603803,94
"5024804, 5036319",1563.96156495387,95
"5027001, 5043137",1563.23439379429,96
"5008547, 5049683",1560.3812178442,97
"5040479, 5040919",1560.258457884,98
"5043784, 5044179",1558.34107694295,99
"5043684, 5044144",1557.79630094156,100
"5001972, 5011176",1557.54333514561,101
"5023879, 5030311",1557.19868088841,102
"5031677, 5039904",1556.35083114979,103
"5027439, 5042177",1556.25959268593,104
"5043743, 5045349",1556.07072076887,105
"5040919, 5042834",1552.71743520962,106
"5042472, 5042495",1552.17025696745,107
"5042447, 5054041",1552.125790084,108
"5044788, 5055373",1552.11149702347,109
"5047106, 5049828",1551.02450361091,110
"5040479, 5048486",1550.29839160009,111
"5043930, 5044573",1549.25420664726,112
"5025271, 5048475",1548.86414128248,113
"5004998, 5049765",1548.19365629938,114
"5011746, 5048486",1544.35654427331,115
"5029319, 5045496",1543.2925397017,116
"5005176, 5055464",1541.99200902494,117
"5050441, 5050470",1541.75392368338,118
"5007523, 5029177",1534.62917657195,119
"5045110, 5046616",1533.41185119853,120
"5044070, 5054041",1533.1949015432,121
"5008768, 5052020",1532.91175252216,122
"5040186, 5044374",1532.70276559744,123
"5042472, 5050519",1531.80291803104,124
"5043417, 5043456",1531.52933633409,125
"5014001, 5055359",1531.25565063539,126
"5004619, 5049765",1530.23640534481,127
"5007921, 5040035",1529.64306875348,128
"5050083, 5055017",1529.09843603226,129
"5045983, 5051600",1528.97999057015,130
"5042983, 5050334",1528.93249251555,131
"5008768, 5044897",1528.92128608302,132
"5005288, 5017252",1528.53069610351,133
"5033489, 5054175",1526.7440104967,134
"5042091, 5052020",1526.12490815992,135
"5012660, 5016487",1526.04246073505,136
"5051600, 5055602",1525.19173889592,137
"5023022, 5023921",1522.0533936321,138
"5053408, 5053806",1521.49509344591,139
"5009052, 5042447",1520.51152852849,140
"5026408, 5045377",1520.21979020528,141
"5003238, 5028974",1519.74744156432,142
"5045288, 5049927",1517.95215162896,143
"5042097, 5045496",1517.76795734214,144
"5014001, 5055411",1517.65902386696,145
"5017294, 5020571",1517.10796302795,146
"5043781, 5055601",1516.59333585433,147
"5036319, 5053329",1516.27496742371,148
"5017917, 5026128",1516.07194925124,149
"5017133, 5044567",1515.71325279435,150
"5038134, 5047055",1515.26044508721,151
"5030330, 5045983",1513.77508051763,152
"5029101, 5046051",1513.24270863393,153
"5044746, 5050083",1512.55681218717,154
"5007693, 5024804",1512.04878645153,155
"5004568, 5008147",1510.35586055554,156
"5044746, 5044749",1509.05914684353,157
"5022359, 5044746",1507.5910636892,158
"5010747, 5042079",1507.39339374903,159
"5002006, 5025080",1506.57058284602,160
"5046301, 5052046",1505.96180524461,161
"5050074, 5050081",1505.05664600288,162
"5021049, 5041016",1504.36386363874,163
"5029961, 5041114",1502.5551715187,164
"5048584, 5049765",1501.82641465733,165
"5025193, 5045078",1500.89928508526,166
"5026742, 5049941",1499.8835558425,167
"5022359, 5055464",1496.64648333826,168
"5036810, 5044567",1495.92623207213,169
"5021523, 5038746",1493.8249733807,170
"5043137, 5054175",1492.08132986523,171
"5047712, 5053329",1491.75035852943,172
"5042270, 5053408",1491.03635539101,173
"5010627, 5015477",1489.62462909221,174
"5022387, 5042050",1488.96666612193,175
"5046164, 5046529",1488.07076193388,176
"5031005, 5043781",1486.17740655996,177
"5048206, 5052046",1485.85195331152,178
"5050083, 5052896",1484.24323752216,179
"5052046, 5053521",1483.90560001303,180
"5022359, 5032952",1483.48314147728,181
"5050027, 5053521",1483.01029282589,182
"5022387, 5048584",1482.8189823664,183
"5002369, 5016993",1482.64390016477,184
"5019162, 5040035",1481.69261536943,185
"5002467, 5046232",1480.99499713547,186
"5029177, 5048486",1480.52882572314,187
"5039298, 5055411",1479.64535485896,188
"5011444, 5036810",1479.34929480767,189
"5029748, 5029761",1478.43725701876,190
"5044100, 5044733",1478.18811553625,191
"5036860, 5042097",1476.61872335005,192
"5045377, 5047055",1475.75758135006,193
"5044573, 5044615",1475.62922830289,194
"5007921, 5034218",1475.22194383748,195
"5017255, 5020445",1474.7394510497,196
"5042292, 5055093",1474.14130272355,197
"5027457, 5054282",1474.09448783595,198
"5023879, 5040479",1473.77134483954,199
"5005176, 5055669",1473.43489045302,200
"5048222, 5053521",1472.74256344517,201
"5045379, 5047031",1472.58647567533,202
"5042841, 5043819",1471.54376700778,203
"5009463, 5039290",1471.53965643782,204
"5029748, 5041701",1471.28044157704,205
"5046232, 5054040",1470.72272712093,206
"5040479, 5040922",1470.50510095295,207
"5014599, 5033189",1468.73316178882,208
"5028550, 5046769",1468.51361456374,209
"5022267, 5041003",1467.81994290482,210
"5036250, 5037432",1466.84354227635,211
"5018195, 5024983",1466.46331139457,212
"5034218, 5048250",1465.69531793212,213
"5051593, 5051600",1464.53045572694,214
"5046582, 5051717",1463.9791148041,215
"5028852, 5032336",1463.91716088535,216
"5050083, 5055012",1462.79494134106,217
"5009617, 5039184",1462.03549891107,218
"5044294, 5044297",1461.77739013259,219
"5001972, 5028852",1461.70567303334,220
"5003128, 5038465",1461.45958954047,221
"5004568, 5021523",1461.34145470532,222
"5045944, 5055570",1460.20075343528,223
"5004141, 5055372",1459.51797552535,224
"5045350, 5052896",1459.18918988199,225
"5021468, 5032872",1458.71392240504,226
"5012279, 5046802",1458.20640581874,227
"5019820, 5027748",1457.48700651529,228
"5036319, 5047221",1456.50881056258,229
"5045548, 5055495",1455.7763924411,230
"5052798, 5054244",1455.64111160368,231
"5042237, 5043850",1454.92745071763,232
"5002274, 5036554",1454.61805700489,233
"5004399, 5006317",1453.55617034115,234
"5054175, 5055146",1452.54527868739,235
"5039290, 5047944",1448.52767584992,236
"5005288, 5032336",1448.02779179722,237
"5008247, 5053721",1447.19352083755,238
"5044888, 5052020",1446.66334527448,239
"5011405, 5018697",1446.47191554948,240
"5021274, 5021894",1445.95347196422,241
"5046994, 5049289",1445.69533353891,242
"5012552, 5021897",1445.55562283995,243
"5004267, 5006193",1443.55542681766,244
"5052511, 5052513",1443.01475828088,245
"5040610, 5041481",1442.9016819925,246
"5011405, 5031252",1442.56000375091,247
"5039519, 5046802",1442.06297636403,248
"5045265, 5045268",1441.05531099477,249
"5006193, 5022267",1439.95377402222,250
"5000811, 5022221",1439.66238766848,251
"5051455, 5053110",1439.48191670549,252
"5039298, 5046136",1436.15167775211,253
"5042090, 5050941",1433.59576489102,254
"5026468, 5048832",1432.52409246053,255
"5016952, 5041003",1430.39250771853,256
"5042344, 5042523",1430.3048230431,257
"5046529, 5052951",1429.75020329937,258
"5046802, 5050327",1429.51735083016,259
"5008634, 5014629",1429.37809974101,260
"5041927, 5042834",1426.16448318232,261
"5045944, 5048629",1425.57071213632,262
"5002888, 5042291",1425.5625791797,263
"5003136, 5020998",1424.85404972852,264
"5011581, 5045022",1423.47945881479,265
"5007963, 5044179",1419.77544812741,266
"5041701, 5048220",1419.6835413473,267
"5029000, 5041130",1419.48354448867,268
"5053110, 5055093",1418.78779847544,269
"5037282, 5055580",1418.74111506515,270
"5035476, 5037359",1418.2147733013,271
"5029839, 5043011",1417.88560894134,272
"5042237, 5042292",1417.69570880557,273
"5029744, 5029745",1417.68250953465,274
"5024983, 5036860",1416.77753281168,275
"5046769, 5047712",1414.76015307282,276
"5041440, 5042825",1414.53159251503,277
"5043482, 5051332",1413.9748970055,278
"5002888, 5050581",1413.64045813483,279
"5010439, 5047401",1412.69351717447,280
"5004267, 5004993",1412.43910657226,281
"5045795, 5046898",1412.06544441365,282
"5005288, 5015253",1411.77293478722,283
"5041668, 5044759",1410.70444220791,284
"5023388, 5027748",1410.46533536709,285
"5046232, 5050077",1408.92884385896,286
"5045145, 5048523",1407.78040029945,287
"5006007, 5028602",1406.30497058602,288
"5047873, 5054766",1406.02843507658,289
"5048220, 5049073",1405.07398818072,290
"5037781, 5050203",1405.06254378711,291
"5008953, 5053893",1402.43846312751,292
"5008742, 5048815",1400.82697630382,293
"5034234, 5045268",1400.62519131094,294
"5040748, 5046051",1400.58819635187,295
"5042079, 5050280",1400.52943524495,296
"5020906, 5022860",1400.0923918753,297
"5005993, 5018513",1398.3770473103,298
"5041701, 5041738",1397.67878111635,299
"5033628, 5046430",1396.74904963152,300
"5042841, 5044774",1396.69095926325,301
"5023586, 5042090",1395.77774368802,302
"5032872, 5035209",1395.38154522007,303
"5011238, 5047742",1393.64478829078,304
"5028602, 5049490",1392.86084197593,305
"5043414, 5043461",1392.68154497924,306
"5041212, 5049490",1390.982047097,307
"5046844, 5049664",1388.73792963832,308
"5034696, 5046834",1387.24232909974,309
"5006415, 5008546",1387.02069861987,310
"5011959, 5054879",1386.59915781425,311
"5030767, 5047345",1386.19891538038,312
"5042344, 5043011",1386.18831521654,313
"5045219, 5050440",1385.97934590674,314
"5011959, 5044774",1383.40092053397,315
"5009208, 5031657",1382.6766151684,316
"5028638, 5048220",1382.41323345937,317
"5046167, 5050053",1380.95706406361,318
"5041424, 5043452",1379.91899115123,319
"5022115, 5037539",1379.27115422214,320
"5029324, 5039953",1379.00579617387,321
"5044693, 5054390",1378.84579092028,322
"5034909, 5044715",1378.21352357315,323
"5023417, 5042108",1378.07435421062,324
"5012200, 5055821",1377.01560439857,325
"5001994, 5050334",1376.61865715023,326
"5047670, 5053215",1376.15816044961,327
"5011943, 5042090",1375.74096088712,328
"5040610, 5042526",1375.07476260214,329
"5041136, 5045496",1374.89459734776,330
"5026138, 5037212",1374.70871487242,331
"5017538, 5027080",1373.21926558484,332
"5012108, 5012159",1373.08077156783,333
"5039966, 5047738",1372.61088649028,334
"5045078, 5049162",1371.03128674254,335
"5044537, 5054257",1369.08316825227,336
"5002342, 5023388",1368.99275690471,337
"5006391, 5018965",1367.39807536126,338
"5012060, 5028423",1365.4896582835,339
"5041667, 5042236",1365.2611722896,340
"5029954, 5052011",1365.07574753152,341
"5000439, 5047201",1364.92906590554,342
"5046756, 5050131",1362.75621346773,343
"5001994, 5004619",1362.34911602492,344
"5005717, 5030587",1360.78521114919,345
"5019963, 5053841",1359.39891958865,346
"5019404, 5032127",1359.29206884951,347
"5014502, 5038746",1358.91584365955,348
"5020957, 5028423",1358.82071598188,349
"5003005, 5004901",1357.57204844247,350
"5044284, 5046648",1356.59611818449,351
"5028970, 5032012",1355.62073708467,352
"5048521, 5053873",1355.58105394039,353
"5023586, 5040741",1353.21570732322,354
"5007963, 5054390",1351.56155222321,355
"5011214, 5015350",1351.24821769255,356
"5003238, 5040836",1349.58027508226,357
"5044494, 5046842",1347.22629767995,358
"5042013, 5043556",1346.0203192027,359
"5043301, 5044175",1345.84789449554,360
"5047026, 5055169",1344.4969315291,361
"5042803, 5042816",1344.30999805855,362
"5042275, 5047633",1343.10649116304,363
"5041602, 5054566",1342.87866281237,364
"5008113, 5050995",1341.58674196633,365
"5029160, 5051503",1339.28513295911,366
"5051230, 5052947",1338.67651302293,367
"5026864, 5030449",1338.36974763197,368
"5009535, 5046254",1328.89189252849,369
"5027457, 5055508",1325.29848633665,370
"5035067, 5049533",1324.10363413112,371
"5041221, 5041248",1323.78711179678,372
"5007107, 5010747",1314.43821513007,373
"5015350, 5031705",1314.3015216255,374
"5045145, 5055028",1311.94169510059,375
"5011103, 5048726",1311.42738118049,376
"5041363, 5050445",1311.28685958552,377
"5040035, 5043740",1308.07965663707,378
"5000559, 5040834",1307.79881546062,379
"5043263, 5043689",1304.76249040694,380
"5042086, 5043014",1301.43601811757,381
"5008686, 5014310",1299.73079840423,382
"5010932, 5037479",1297.8844433637,383
"5020355, 5045078",1296.05495418649,384
"5042450, 5047266",1290.82747336271,385
"5039872, 5043429",1286.64176118447,386
"5016094, 5018289",1285.16506957537,387
"5017179, 5017292",1257.01357101109,388
"5019888, 5029143",1242.27496811967,389
